"subject","device","frame.rate.original","frame.rate.no.outliers.sd","frame.rate.no.outliers.10pc"
"5422aa8bfdf99b328c91b1ff","Desktop",59.8800399866525,59.8698333727133,59.9716406773046
"554a4c37fdf99b744e2ae69f","Desktop",59.9325342333041,60.0031422251644,59.9920788844011
"5589cd57fdf99b18bd86d011","Laptop",59.1796816425896,59.9614089202615,59.84795838983
"55a0ff77fdf99b3f453c5e6c","Laptop",59.9863217614927,59.8091234943144,59.8478717645619
"55a163e0fdf99b04310c8d05","Desktop",59.6755330314528,60.0026263775692,60.052000334997
"55ca72eefdf99b58acd1dddd","Phone",59.5567405432336,59.8006870283147,59.7758614202631
"5601478877f33b0010cb2bfc","Laptop",59.9820053983805,60.0019933884281,59.8591585862699
"5602d7b1e372c00005bd4346","Laptop",59.7050729321932,59.8086927337129,59.7967827408428
"5610c4ea7ffc8a0005811504","Laptop",60.0093296014927,59.9186164801628,60.0776002336351
"563bb259be9cac0005aab7ab","Desktop",60,59.9461460787614,60.0842263269816
"563cf715ef3f150006b92bae","Laptop",57.0257299026798,59.6276478780306,59.6650383809789
"565dc567f3a62b000e8c6df6","Laptop",60.0061305541665,59.8304803056633,59.948045027574
"565f1784e14ebc0006c5f89d","Tablet",59.8253566191174,59.995932479154,59.9107180107644
"56849d528f456f000c45e1dd","Laptop",59.5238194484159,59.9143975654296,59.9038015422294
"569b0625af9ad70006640d4d","Laptop",59.1195387742832,59.985495735051,59.7952045846752
"56c8cb3b1d066b000c473a47","Phone",59.5886781511916,59.8327616681659,59.7836758362776
"56e5adeab2093a000d4f18d2","Desktop",59.8756505687685,59.8858488735442,59.8932084932995
"571369114e714e00109c037b","Laptop",59.7940205979462,59.9344572451585,59.94652853251
"5716248ecd6ea20012daf2c1","Laptop",58.5594443351965,59.7094578670729,59.9277116650683
"571e5cbe1bdf1a0012915270","Desktop",59.6701649175424,59.9643568508873,59.9313635205436
"573107ef1efe74000e3088d2","Phone",59.8834340281946,59.9886890014004,59.9932366706047
"5732116281a047000df22583","Tablet",59.6585888025931,59.9810402754736,59.9825748944441
"5770fe2de26bd40001ebfa71","Phone",63.7072133758447,63.6659654385807,63.6176781419953
"5783b80d160201000103ec3d","Desktop",59.9560744268498,59.9753516751771,59.9767590060086
"578a389e07724c000114c02c","Phone",56.4430175730573,58.6805179325153,58.8143202301639
"579f151bfa44650001140649","Desktop",30.5914343983697,59.845812099814,59.8670706679138
"57acee52bfa77b0001bf31d4","Desktop",59.8918147853125,59.9388871559036,59.9611378438795
"58296b19c297cc00015159a8","Tablet",58.4585754926436,60.0190336020344,59.99692949333
"5832d99708b46b00010dcdc8","Laptop",59.8732566120542,60.1190276050302,60.1442122688889
"585ae9a0f1343d00011503d3","Desktop",135.142342822855,144.880969767781,143.858403939139
"5863b782327dab000199d5e5","Desktop",60.0179287316253,59.9258029279757,59.9835045362591
"58728ca3a346230001067aa6","Laptop",59.7998456239073,59.9754889104326,59.9227361226988
"587905adc34844000174ee45","Laptop",59.5517787219868,59.9817845684898,59.9636025125196
"587a48175c17910001ea51d9","Laptop",59.9444872063936,59.9141308935392,59.9268393116427
"58951c7a196d450001e2ea90","Phone",59.6031788361821,60.0641286186715,59.9904417752519
"58ac94a1f6cc2100012b13d1","Laptop",60.0087297542462,59.5947130272148,59.9892519250408
"58b82c7f6bdea10001ae3b0c","Laptop",59.972013060566,61.8884439122389,60.4877639259036
"58bafe0a82e0250001caf492","Laptop",60.112093726924,60.0932016619255,60.0904479926577
"58c5148b334d5b0001d63893","Laptop",59.5055640701671,59.9850207667614,59.8659405213324
"58daa0dd95797d00019be4ee","Phone",59.971315166272,59.8456964892413,59.9533372218982
"58e1576c1457b6000174c699","Desktop",59.9946641766157,59.927238428889,60.0650704930341
"58e89e05bb572d0001219f5c","Laptop",59.8369476493303,60.0138725534581,60.0117768412217
"58eb534aee8f230001ab77a9","Laptop",60.010929253079,60.0307850179558,59.9825051026759
"58eb5cda6634110001e86b7b","Phone",58.5276756580198,59.1575873462294,58.9511314001815
"58ebebf99d3fac00017f834e","Phone",60.0006000060001,59.9725125983924,59.9799373145139
"58fdcd2be219d00001ee5aa0","Laptop",60.1369990804447,60.1446542350781,60.0413304060619
"590b9cfa2e1bf400017ef7ef","Phone",59.9932007706056,59.9561178156499,60.0009160456394
"5924f4910a3e3e0001f1018e","Laptop",59.6019867328915,59.9857901681409,59.8744769876719
"592d7f5bd0003800018f3157","Phone",59.9553169495482,59.9456914034303,59.925873485196
"5936b4a44eb7f80001ab5c34","Laptop",59.9774085094358,60.0193872419994,60.0011658801023
"5947f9c86d5cac00018853de","Laptop",60.0147287673469,60.0874988112327,60.0285135435404
"59497b091a063a00019c58fb","Phone",47.2496567902393,53.4193684874869,49.4383197059834
"594dccbf3d663c00011d0ede","Phone",60.3030151507252,60.3016803973487,60.300419354408
"5955632624cc420001bb737d","Laptop",59.9673148117266,59.9315068493151,59.8735125239251
"59576c11b42ee50001e8ee7a","Tablet",52.3316044916546,54.4797687860264,54.6108325979852
"595ff624f543ba0001cc5cb3","Phone",59.7323377943663,59.9522449359033,59.8915015087383
"596634e005f2df00017281ae","Laptop",60.0205289537973,59.7541584684829,59.8707788997006
"5968a1c3281d7e0001d24c2d","Phone",59.9706647109806,59.9928528370271,59.9920010665236
"5971c25afb79590001630da8","Laptop",59.8477148901974,59.9957001962559,60.0117768411852
"5978eedb30f3ea000122eaf0","Tablet",59.998081262696,59.9955861164217,59.9982946975307
"597a08b08a05ba00010a4a4f","Laptop",60,59.8232029055027,60.0842263269815
"597cb71cd4e83700016c35b2","Laptop",60.0231294013163,59.804326857086,59.9450503709364
"597fa2d8fc90e000011c586d","Desktop",59.9556747930142,59.9634713007512,59.9096363001006
"597fa9518ab70c000158d828","Desktop",59.9494811487644,59.9064428259405,59.9425550512975
"5981f94135fbf100017d111a","Laptop",58.3022388059702,60.1196096946805,60.0051396265199
"5984850cfb9ab10001cac303","Phone",33.3537698756481,33.3280875692878,33.3405571207093
"5986076ec0334000018fde2c","Laptop",58.9980333988867,59.9531774844773,60.0042345966547
"598623db2e38840001455d67","Desktop",58.1959262851924,59.7477470050912,59.9380454272076
"59875debe707360001a648da","Laptop",59.2124345781025,59.9911965826873,59.9269509987124
"598ac229c3e95a00013bec59","Tablet",59.8690676483935,59.6630707635899,59.8862245023333
"598dca05ad9ab80001a01a73","Desktop",60.0053308456142,60.1018087143852,60.0290140239495
"598ef1780675b100014dabd8","Laptop",59.8648707205759,60.4434675797069,60.3510186610752
"5993a17f7c41bc00012e5b2b","Laptop",59.8387188179344,60.0141408742645,59.9762767932676
"5994679695da4f0001f9d504","Laptop",60.0239295842679,59.9004155588014,59.9890020147565
"599728fa9039240001432206","Laptop",53.7471385396749,59.6443627995971,59.8227576911405
"599de629bd442800019b91e8","Laptop",58.778839617645,59.959612695616,59.9389990061017
"599f00c54d25e800012fc9a6","Tablet",60.0240096038415,59.9672533769956,59.8944262022536
"59a02264c9281e0001c1b94e","Tablet",60.0887834270928,60.3122982541708,60.2878094871935
"59a1c15ac9281e0001c1ba2b","Laptop",60.0131289132668,60.052420340164,60.0600600600564
"59a42dd68d2b1600011b407d","Laptop",59.994600486049,60.0068235184371,60.0564305392929
"59a44517617ca80001fcd43b","Desktop",60.008729754159,59.9265416586525,60.0050004163204
"59a57efccf8b8d0001771f10","Laptop",60.0099294608527,60.0006239233166,60.0545495491613
"59a7210bb2130b000179d545","Desktop",40.2954331842568,59.9962254030664,60.0131433737437
"59b07192844a8e00015259b3","Laptop",59.9420904095945,59.9979866447299,59.9972501260508
"59b2c2c9180e830001575ba4","Laptop",47.6922102723223,59.3789707091389,60.2076743733912
"59bbf63e0ac77f0001f054f9","Desktop",59.9646678444048,59.7969161338872,60.1277715143596
"59c245b40c5fc80001193d69","Phone",59.2096494735391,59.8653200951487,59.7742701612813
